Depth First Search
Goal Found
Final Number of States Visited: 559
Final Path
Length: 558
[63, 56, 0, 37, 34, 1]
[65, 56, 1, 35, 34, 0]
[64, 56, 0, 36, 34, 1]
[66, 56, 1, 34, 34, 0]
[65, 56, 0, 35, 34, 1]
[65, 57, 1, 35, 33, 0]
[64, 57, 0, 36, 33, 1]
[66, 57, 1, 34, 33, 0]
[65, 57, 0, 35, 33, 1]
[67, 57, 1, 33, 33, 0]
[66, 57, 0, 34, 33, 1]
[66, 58, 1, 34, 32, 0]
[65, 58, 0, 35, 32, 1]
[67, 58, 1, 33, 32, 0]
[66, 58, 0, 34, 32, 1]
[68, 58, 1, 32, 32, 0]
[67, 58, 0, 33, 32, 1]
[67, 59, 1, 33, 31, 0]
[66, 59, 0, 34, 31, 1]
[68, 59, 1, 32, 31, 0]
[67, 59, 0, 33, 31, 1]
[69, 59, 1, 31, 31, 0]
[68, 59, 0, 32, 31, 1]
[68, 60, 1, 32, 30, 0]
[67, 60, 0, 33, 30, 1]
[69, 60, 1, 31, 30, 0]
[68, 60, 0, 32, 30, 1]
[70, 60, 1, 30, 30, 0]
[69, 60, 0, 31, 30, 1]
[69, 61, 1, 31, 29, 0]
[68, 61, 0, 32, 29, 1]
[70, 61, 1, 30, 29, 0]
[69, 61, 0, 31, 29, 1]
[71, 61, 1, 29, 29, 0]
[70, 61, 0, 30, 29, 1]
[70, 62, 1, 30, 28, 0]
[69, 62, 0, 31, 28, 1]
[71, 62, 1, 29, 28, 0]
[70, 62, 0, 30, 28, 1]
[72, 62, 1, 28, 28, 0]
[71, 62, 0, 29, 28, 1]
[71, 63, 1, 29, 27, 0]
[70, 63, 0, 30, 27, 1]
[72, 63, 1, 28, 27, 0]
[71, 63, 0, 29, 27, 1]
[73, 63, 1, 27, 27, 0]
[72, 63, 0, 28, 27, 1]
[72, 64, 1, 28, 26, 0]
[71, 64, 0, 29, 26, 1]
[73, 64, 1, 27, 26, 0]
[72, 64, 0, 28, 26, 1]
[74, 64, 1, 26, 26, 0]
[73, 64, 0, 27, 26, 1]
[73, 65, 1, 27, 25, 0]
[72, 65, 0, 28, 25, 1]
[74, 65, 1, 26, 25, 0]
[73, 65, 0, 27, 25, 1]
[75, 65, 1, 25, 25, 0]
[74, 65, 0, 26, 25, 1]
[74, 66, 1, 26, 24, 0]
[73, 66, 0, 27, 24, 1]
[75, 66, 1, 25, 24, 0]
[74, 66, 0, 26, 24, 1]
[76, 66, 1, 24, 24, 0]
[75, 66, 0, 25, 24, 1]
[75, 67, 1, 25, 23, 0]
[74, 67, 0, 26, 23, 1]
[76, 67, 1, 24, 23, 0]
[75, 67, 0, 25, 23, 1]
[77, 67, 1, 23, 23, 0]
[76, 67, 0, 24, 23, 1]
[76, 68, 1, 24, 22, 0]
[75, 68, 0, 25, 22, 1]
[77, 68, 1, 23, 22, 0]
[76, 68, 0, 24, 22, 1]
[78, 68, 1, 22, 22, 0]
[77, 68, 0, 23, 22, 1]
